skill;occurence
Utilisation de matériel de pulvérisation (jet de sable);1
Gravure au pointillé;1
Gravure héraldique;1
Gravure en creux;1
Utilisation de fraise mécanique;1
Xylographie;1
Techniques de pliage;7
Caractéristiques des fibres végétales;4
Caractéristiques des brins végétaux;2
Caractéristiques des lianes végétales (rotin, clématite...);1
Techniques de cintrage;7
Techniques de tressage;1
Techniques de nouage;4
Procédés de tissage;2
Techniques de piqûre machine;11
Techniques de cannage;1
Techniques de formage à chaud;1
Techniques de formage à froid;2
Résistance Des Matériaux (RDM);6
Couture manuelle;19
Assemblage par vissage, agrafage, connecteur;2
Techniques de clouage, cloutage, rivetage;3
Techniques de collage;25
Assemblage par tourillonnage, tenon-mortaise, pigeonnage;2
Techniques de ligaturage;1
Utilisation de scie stationnaire;1
Utilisation de chantourneuse;1
Utilisation de toupie;2
Mise en bain de cuve;1
Techniques de reliure;2
Techniques de restauration de document;2
Histoire du livre;1
Techniques de démontage/remontage de livres;1
Utilisation de presse hydraulique;2
Utilisation de massicot;2
Techniques de rognage;1
Techniques de couture de documents papier;1
Techniques de dorure au balancier;1
Techniques de dorure au film;1
Sertissage d'élément de décor;1
Histoire de la musique;4
Procédures d'entretien d'instruments de musique;1
Techniques d'alésage;1
Techniques d'usinage;9
Ébénisterie;1
Techniques de chaudronnerie;8
Techniques de fonderie;5
Façonnage de matériaux organiques;1
Fraisage sur métal;1
Tension de cordes;1
Montage de cordes;1
Tournage de bois;2
Dessin technique;7
Vernissage au tampon;3
Accordage d'instruments de musique;1
Caractéristiques des instruments de musique;2
Organologie;1
Procédés de brasage;7
Techniques de traçage;14
Utilisation d'outillages manuels;39
Arts de la table;4
Techniques de bijouterie;2
Utilisation de machines à façonner les clés;2
Electricité;74
Travail des métaux (laiton, cuivre, étain, bronze);3
Travail du bronze;1
Travail de l'acier;1
Travail de l'aluminium;1
Techniques de martelage;2
Techniques de planage;3
Fonte à la cire perdue;2
Travail de matériaux d'origine animale (corne, écaille, nacre, os);3
Caractéristiques de matières d'origine végétale (ambre, jais);3
Caractéristiques des fibres synthétiques;5
Fibres de carbone;1
Caractéristiques des pierres fines;1
Ergonomie;19
Lecture de dessins techniques;4
Techniques de transformation du verre à chaud;1
Techniques de transformation du verre à froid;1
Bombage du verre;1
Coulage du verre dans moule, casting;1
Coulage en sable;1
Filage du verre;1
Fonte de pâte de verre;1
Étirement du verre;1
Techniques de sculptage du verre par forme pleine;1
Techniques de soufflage du verre à main levée;1
Techniques de soufflage du verre au chalumeau;1
Techniques de soufflage du verre au moule;1
Thermoformage du verre, fusing;1
Techniques de maillochage;1
Cueille du verre;1
Techniques de marbrage;1
Compassage de verre;1
